ucc,provenance_class,in_published_ce,in_concordance,published_title,concordance_title,elis,dmi_node,ce_source
190322,PUBLISHED_CE_UCC,true,false,Breakfast and brunch at full service restaurants,,,,
190323,PUBLISHED_CE_UCC,true,false,Breakfast and brunch at vending machines and mobile vendors,,,,
190324,PUBLISHED_CE_UCC,true,false,Breakfast and brunch at employer and school cafeterias,,,,
190400,DIRECT_CONCORDANCE_UCC,true,true,Food and nonalcoholic beverages at fast food,Food/Nonalc Bev - Fast Food,FV021,FOOD,D
190500,DIRECT_CONCORDANCE_UCC,true,true,Food and nonalcoholic beverages at full service restaurants,Food/Nonalc Bev - Full Service,FV011,FOOD,D
190600,DIRECT_CONCORDANCE_UCC,true,true,Food and nonalcoholic beverages at vending machines and mobile vendors,Food/Nonalc Bev - Vending,FV041,FOOD,D
190700,DIRECT_CONCORDANCE_UCC,true,true,Food and nonalcoholic beverages at employer,Food/Nonalc Bev - Employer,FV031,FOOD,D
190901,PUBLISHED_CE_UCC,true,false,Food or board at school,,,,
190902,DIRECT_CONCORDANCE_UCC,true,true,Catered affairs,Food And Bev For Catered Affairs,FV051,FOOD,I
190903,PUBLISHED_CE_UCC,true,false,Food on out of town trips,,,,
190904,PUBLISHED_CE_UCC,true,false,Food prepared by consumer unit on out of town trips,,,,
190905,DIRECT_CONCORDANCE_UCC,true,true,School meals and board,School Meals And Board,FV051,FOOD,I
200111,PUBLISHED_CE_UCC,true,false,Beer and ale,,,,
200112,PUBLISHED_CE_UCC,true,false,Nonalcoholic beer,,,,
200119,DIRECT_CONCORDANCE_UCC,true,true,"Beer, ale, and other malt beverage","Beer, Ale, And Other Malt Beverag",FW011,ALCOHOLIC_BEVERAGES,D
200210,PUBLISHED_CE_UCC,true,false,Whiskey,,,,
200219,DIRECT_CONCORDANCE_UCC,true,true,Distilled spirits,Distilled Spirits At Home,FW021,ALCOHOLIC_BEVERAGES,D
200310,DIRECT_CONCORDANCE_UCC,true,true,Wine,Wine At Home,FW031,ALCOHOLIC_BEVERAGES,D
200410,PUBLISHED_CE_UCC,true,false,Other alcoholic beverages,,,,
200511,PUBLISHED_CE_UCC,true,false,"Beer and ale at fast food, carry out, delivery, concession stands, buffets, and cafeterias",,,,
200512,PUBLISHED_CE_UCC,true,false,Beer and ale at full service restaurants,,,,
200513,PUBLISHED_CE_UCC,true,false,Beer and ale at vending machines and mobile vendors,,,,
200514,PUBLISHED_CE_UCC,true,false,Beer at employer,,,,
200515,PUBLISHED_CE_UCC,true,false,Beer at board,,,,
200516,PUBLISHED_CE_UCC,true,false,Beer and ale at catered affairs,,,,
200521,PUBLISHED_CE_UCC,true,false,"Wine at fast food, carry out, delivery, concession stands, buffets, and cafeterias",,,,
200522,PUBLISHED_CE_UCC,true,false,Wine at full service restaurants,,,,
200523,PUBLISHED_CE_UCC,true,false,Wine at vending machines and mobile vendors,,,,
200524,PUBLISHED_CE_UCC,true,false,Wine at employer,,,,
200525,PUBLISHED_CE_UCC,true,false,Wine at board,,,,
200526,PUBLISHED_CE_UCC,true,false,Wine at catered affairs,,,,
200531,PUBLISHED_CE_UCC,true,false,"Other alcoholic beverages at fast food, carry out, delivery, concession stands, buffets, and cafeterias",,,,
200532,PUBLISHED_CE_UCC,true,false,Other alcoholic beverages at full service restaurants,,,,
200533,PUBLISHED_CE_UCC,true,false,Other alcoholic beverages at vending machines and mobile vendors,,,,
200534,PUBLISHED_CE_UCC,true,false,Other alcohol at employer,,,,
200535,PUBLISHED_CE_UCC,true,false,Other alcohol at board,,,,
200536,PUBLISHED_CE_UCC,true,false,Other alcoholic beverages at catered affairs,,,,
200900,PUBLISHED_CE_UCC,true,false,Alcoholic beverages purchased on trips,,,,
210110,DIRECT_CONCORDANCE_UCC,true,true,Rent,Rent Of Dwelling,HA011,SHELTER,I
210210,DIRECT_CONCORDANCE_UCC,true,true,Lodging on out of town trips,Lodging Away From Home,HB021,SHELTER,I
210310,DIRECT_CONCORDANCE_UCC,true,true,Housing while attending school,Housing For Someone At School,HB011,SHELTER,I
210901,PUBLISHED_CE_UCC,true,false,Ground rent,,,,
210902,PUBLISHED_CE_UCC,true,false,Ground rent,,,,
220121,DIRECT_CONCORDANCE_UCC,true,true,Homeowners insurance,Homeowners Insurance Ownd,HD011,SHELTER,I
