ucc,ucc_title,subcategory_code,domain_label,mapping_status,computation_node,destination_eli_count,destination_elis,destination_nodes,exception_reason,bls_multi_eli_footnote
220212,Property taxes,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
220311,Mortgage interest,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
220312,Mortgage interest,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
220313,"Interest paid, home equity loan",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
220314,"Interest paid, home equity loan",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
220901,Parking,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
220902,Parking,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230112,Painting/Papering Labor/Mat Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP043,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
230113,Plumbing and water heating,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230114,"Heat, a/c, and electrical work",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230115,Roofing and gutters,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230117,Repl Dishwash/Disp/Hood Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP043,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
230118,Repl Dishwash/Disp/Hood Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP043,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
230141,Repair-Displ/Dwshr/Rang Hd Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP041,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
230142,Repair-Displ/Dwshr/Rang Hd Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP041,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
230143,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230144,"Home warranties, maintenance, repairs, or services contracts on household appliances (owner)",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230150,Rep/Maint Labor/Mat Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HP043,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
230151,Other repair and maintenance services,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230152,Repair and remodeling services,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230901,Property management,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
230902,Property management,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
240111,Paint/Wallpaper And Supp Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM011,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240112,Paint/Wallpaper And Supp Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM011,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240113,"Paints, wallpaper, and supplies",HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
240121,Equip For Paint/Wpaper Rntr,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM011,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240122,Equip For Paint/Wpaper Ownd,HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM011,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
240123,Tools and equipment for painting and wallpapering,HOUSING,Housing,UNRESOLVED,,0,,,NO_CONCORDANCE,false
240211,"Mat For Panl/Roof/Siding,Etc Rntr",HOUSING,Housing,DIRECT,HOUSEHOLD_FURNISHINGS_OPERATIONS,1,HM090,HOUSEHOLD_FURNISHINGS_OPERATIONS,,false
