ucc,population,ucc_label,ce_stub_parent,domain_label,provenance_class,source_class,amount_source,pumd_membership,pumd_quantitative_usability,cpi_adjustment_status,concordance_elis,dmi_node,m1_mapping_status,source_amount_millions,source_amount_status,source_amount_rse_pct,source_amount_high_rse_flag,governing_rule_id,governing_registry_artifact_id,rule_type,review_status,canonical_rule_state,ucc_rule_role,proposed_track_a_status,effective_track_a_status,rule_blocker_kind,predecessor_rule_id,pending_rule_effect_on_amount,track_a_disposition,retained_amount,excluded_amount,removed_for_replacement_amount,replacement_amount,transformed_amount,pending_amount,open_amount,withheld_amount,replacement_group_id,replacement_role,normalization_state,note
020219,Q2,Bread,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB011,FOOD,DIRECT,3013.000000,OBSERVED,5.560000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,3013.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020219,Q3,Bread,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB011,FOOD,DIRECT,3507.000000,OBSERVED,5.890000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,3507.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020219,Q4,Bread,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB011,FOOD,DIRECT,3611.000000,OBSERVED,4.490000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,3611.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020219,Q5,Bread,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB011,FOOD,DIRECT,5288.000000,OBSERVED,4.430000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,5288.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020310,ALL_CU,Biscuits and rolls,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB021,FOOD,DIRECT,11963.000000,OBSERVED,3.010000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,11963.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020310,Q1,Biscuits and rolls,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB021,FOOD,DIRECT,1405.000000,OBSERVED,7.470000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1405.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020310,Q2,Biscuits and rolls,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB021,FOOD,DIRECT,1993.000000,OBSERVED,9.750000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,1993.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020310,Q3,Biscuits and rolls,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB021,FOOD,DIRECT,2368.000000,OBSERVED,5.700000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2368.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020310,Q4,Biscuits and rolls,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB021,FOOD,DIRECT,2735.000000,OBSERVED,5.480000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,2735.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
020310,Q5,Biscuits and rolls,FOODTOTL,Food,DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_BASIS,LABSTAT_PUBLISHED,NOT_VERIFIED,NOT_ESTABLISHED,UNKNOWN,FB021,FOOD,DIRECT,3462.000000,OBSERVED,5.130000,false,,,,,NOT_APPLICABLE,UNCLAIMED,,,,,NOT_APPLICABLE,RETAINED,3462.000000,,,,,,,,,NOT_APPLICABLE,ELIGIBLE,
