ucc	eli	ucc_title	eli_title	ce_source	multi_eli_footnote
270213	HG011	Water And Sewerage Maint Ownv	Residential Water And Sewerage Service	I	false
270214	HG011	Water And Sewerage Maint Rntv	Residential Water And Sewerage Service	I	false
270310	RA021	Cable/Satellite/Com Antenna Serv	Cable And Satellite Television Service	I	false
270311	RA061	Satellite Radio Service	Music media and audio content	I	false
270411	HG021	Trash/Garbage Collect Rntr	Garbage And Trash Collection	I	false
270412	HG021	Trash/Garbage Collect Ownd	Garbage And Trash Collection	I	false
270413	HG021	Trash/Garbage Collect Ownv	Garbage And Trash Collection	I	false
270414	HG021	Trash/Garbage Collect Rntv	Garbage And Trash Collection	I	false
270901	HP090	Septic Tank Cleaning Rntr	Unsampled Household Operations	I	false
270902	HP090	Septic Tank Cleaning Ownd	Unsampled Household Operations	I	false
270905	HP090	Steam Heat	Unsampled Household Operations	I	false
270907	HP090	Septic Tank Cleaning Ownr	Unsampled Household Operations	I	false
280110	HH031	Bathroom Linens	Bathroom Linens	D	false
280120	HH032	Bedroom Linens	Bedroom Linens	D	false
280140	HH033	Kitchen/Dining Room/Othr Linens	Kitchen And Dining Room Linens	D	false
280210	HH021	Curtains And Drapes	Curtains And Drapes	I	false
280220	HJ021	Slipcovers/Decorative Pillows	Sofas, Sofa Sleepers, Furniture Covers And Decorative Pillows	I	false
290110	HJ011	Mattress And Springs	Mattresses And Foundations	I	false
290120	HJ012	Other Bedroom Furniture	Bedroom Furniture Other Than Mattresses or Foundations	I	false
290210	HJ021	Sofas	Sofas, Sofa Sleepers, Furniture Covers And Decorative Pillows	I	false
290310	HJ022	Living Room Chairs	Living Room Chairs	I	false
290320	HJ023	Living Room Tables	Living Room Tables	I	false
290410	HJ024	Kitchen/Dining Room Furniture	Kitchen And Dining Room Furniture	I	false
290420	HJ031	Infants Furniture	Infants Furniture	I	false
290430	HJ032	Outdoor Furniture	Outdoor Furniture	I	false
290440	HJ033	Wall Units, Cabinets, Occas Furn	Occasional Furniture	I	false
300111	HK011	Purch/Inst Refrig/Freezer Rntr	Refrigerators And Freezers	I	false
300112	HK011	Purch/Inst Refrig/Freezer Ownd	Refrigerators And Freezers	I	false
300216	HK012	Purch/Inst Clths Washr/Dryr Rntr	Washers And Dryers	I	false
300217	HK012	Purch/Inst Clths Washr/Dryr Ownd	Washers And Dryers	I	false
300311	HK013	Stoves, Ovens Rntr	Ranges And Cooktops	I	false
300312	HK013	Stoves, Ovens Ownd	Ranges And Cooktops	I	false
300321	HK014	Microwave Ovens Rntr	Microwave Ovens	I	false
300322	HK014	Microwave Ovens Ownd	Microwave Ovens	I	false
300331	HK090	Purch/Inst Port Dishwasher Rntr	Unsampled Appliances	I	false
300332	HK090	Purch/Inst Port Dishwasher Ownd	Unsampled Appliances	I	false
300411	HK023	Purch/Inst Window A/C Rntr	Other Electric Appliances	I	false
300412	HK023	Purch/Inst Window A/C Ownd	Other Electric Appliances	I	false
310140	RA011	Televisions	Televisions	I	false
310210	RA031	Vcrs/Video Disc Players	Other Video Equipment	I	false
310220	RA041	Video Cassettes/Tapes/Discs	Prerecorded Video Discs/Digital Files/Downloads And Other Media	D	false
310231	RE012	Video Game Software	Video Game Consoles, Software, And Accessories	I	false
310232	RE012	Video Game Hardware/ Accessories	Video Game Consoles, Software, And Accessories	I	false
310241	RA042	Streaming Video Files	Rental Of Video Discs And Other Media	D	false
310242	RA041	Downloading Video Files	Prerecorded Video Discs/Digital Files/Downloads And Other Media	D	false
310312	RA051	Phonographs	Audio Media Players, Recorders, Systems, And Other Equipment	D	false
310314	RA051	Digital Audio Players	Audio Media Players, Recorders, Systems, And Other Equipment	I	false
310315	RA031	Digital Media Players & Recorders	Other Video Equipment	D	false
310316	RA051	Radios/Speakers/Sound Comp Systms	Audio Media Players, Recorders, Systems, And Other Equipment	I	false
310331	RA051	Misc Sound Equipment	Audio Media Players, Recorders, Systems, And Other Equipment	D	false
310332	RA051	Sound Equip Accessories	Audio Media Players, Recorders, Systems, And Other Equipment	D	false
310334	RA031	Satellite Dishes	Other Video Equipment	I	false
