ucc,status,exclusion_reason,provenance_class,ce_source,dmi_node,all_cu_published_mean,magnitude_stratum,annualization_factor
180410,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,75.0,,
180420,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,22.0,,
180510,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,98.0,,
180520,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,44.0,,
180611,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,75.0,,
180612,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,17.0,,
180620,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,40.0,,
180710,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,336.0,,
180720,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190111,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190112,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190113,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190114,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190211,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190212,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190213,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190214,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190311,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190312,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190313,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190314,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190321,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190322,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190323,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190324,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
190400,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,1731.0,,
190500,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,1522.0,,
190600,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,36.0,,
190700,EXCLUDED,CE_SOURCE_NOT_INTERVIEW,DIRECT_CONCORDANCE_UCC,D,FOOD,44.0,,
190901,EXCLUDED,NOT_DIRECT_CONCORDANCE_UCC,PUBLISHED_CE_UCC,,,,,
